arabic,sql,db_id
كم عدد رؤساء الأقسام الذين تزيد أعمارهم عن 56 سنه؟,SELECT count ( * ) FROM head WHERE age > 56,department_management
اعرض قائمه بأسماء رؤساء الأقسام، مكان ميلادهم، وأعمارهم مرتبه حسب العمر.,"SELECT name , born_state , age FROM head ORDER BY age",department_management
اعرض قائمه بسنوات الإنشاء، وأسماء وميزانيات كل قسم.,"SELECT creation , name , budget_in_billions FROM department",department_management
ما هي أقصي وأدني ميزانيه للأقسام؟,"SELECT max ( budget_in_billions ) , min ( budget_in_billions ) FROM department",department_management
ما هو المتوسط ​​لعدد الموظفين في الأقسام الذين يحتلون المرتبه بين 10 و 15؟,SELECT avg ( num_employees ) FROM department WHERE ranking BETWEEN 10 AND 15,department_management
ما هي أسماء رؤساء الأقسام الذين ولدوا خارج ولايه كاليفورنيا؟,SELECT name FROM head WHERE born_state ! = 'California',department_management
ما هي سنوات الإنشاء المميزه للأقسام التي يديرها أمين ولد في ولايه 'Alabama'؟,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama',department_management
ما هي أسماء الولايات حيث ولد علي الأقل 3 رؤساء؟,SELECT born_state FROM head GROUP BY born_state HAVING count ( * ) > = 3,department_management
في أي عام تم إنشاء معظم الأقسام؟,SELECT creation FROM department GROUP BY creation ORDER BY count ( * ) DESC LIMIT 1,department_management
عرض الاسم وعدد الموظفين للأقسام التي يديرها رؤساء تكنولوجيا المعلومات الذين يكون حالتهم التصرفيه 'Yes'؟,"SELECT T1.name , T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'",department_management
كم عدد حالات التصرف التمثيلي؟,SELECT count ( DISTINCT temporary_acting ) FROM management,department_management
كم قسما يديره رؤساء لم يذكر اسماؤهم؟,SELECT count ( * ) FROM department WHERE department_id NOT IN ( SELECT department_id FROM management ) ;,department_management
ما هي الأعمار المميزه لرؤساء الأقسام الذين يؤدون دورا تمثيليا؟,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id = T2.head_id WHERE T2.temporary_acting = 'Yes',department_management
اعرض قائمه بالولايات التي ولد فيها أمين 'Treasury' وأمين 'Homeland Security'.,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T1.name = 'Homeland Security',department_management
